Protein IDs,142_1,142_2,142_3,17_1,17_2,17_3,No Bait_1,No Bait_2,No Bait_3
sp|P12004|PCNA_HUMAN,7.26E+05,4.15E+05,0,3.04E+05,0,0,0,5.83E+05,1.43E+05
sp|P12236|ADT3_HUMAN,2.33E+05,3.58E+05,8.03E+04,3.21E+05,1.93E+05,0,1.12E+05,2.27E+05,1.04E+05
sp|P12270|TPR_HUMAN,1.52E+05,2.76E+05,0,2.76E+05,0,1.20E+03,0,2.25E+05,4.87E+05
sp|P12273|PIP_HUMAN,2.28E+05,1.81E+05,0,9.67E+05,0,0,1.36E+07,2.82E+05,3.25E+05
sp|P12532|KCRU_HUMAN,0,0,0,2.16E+05,0,0,0,1.71E+05,3.60E+04
sp|P12956|XRCC6_HUMAN,9.14E+05,3.59E+05,0,5.92E+05,0,0,0,1.32E+06,4.84E+05
sp|P13010|XRCC5_HUMAN,2.95E+05,3.01E+05,0,4.83E+05,0,3.54E+03,0,6.59E+05,1.99E+05
sp|P13489|RINI_HUMAN,7.32E+04,0,0,0,2.79E+04,1.38E+04,0,0,0
sp|P13639|EF2_HUMAN,0,0,0,6.34E+04,0,0,0,2.95E+04,6.15E+04
sp|P13674|P4HA1_HUMAN,6.93E+04,3.53E+04,0,4.11E+04,0,0,0,0,0
sp|P13861|KAP2_HUMAN,6.97E+05,1.89E+05,0,4.22E+05,0,1.56E+05,0,4.25E+05,2.47E+05
sp|P13987|CD59_HUMAN,9.09E+04,1.66E+06,0,3.00E+06,0,0,0,2.55E+06,4.14E+06
sp|P14373|TRI27_HUMAN,1.55E+05,1.05E+05,0,0,0,0,0,9.13E+04,0
sp|P14406|CX7A2_HUMAN,0,0,0,0,0,0,0,3.14E+05,3.47E+05
sp|P14618|KPYM_HUMAN,2.82E+04,0,0,1.04E+05,0,0,0,7.14E+04,5.43E+04
sp|P14625|ENPL_HUMAN,4.52E+05,3.13E+05,0,2.49E+05,0,7.95E+04,0,5.11E+05,8.76E+04
sp|P63162|RSMN_HUMAN,2.82E+06,4.27E+06,9.53E+05,6.16E+05,0,0,0,7.69E+05,4.80E+05
sp|P14866|HNRPL_HUMAN,3.08E+06,1.87E+06,0,2.18E+06,5.93E+03,3.37E+05,0,2.33E+06,1.80E+06
sp|P14868|SYDC_HUMAN,1.97E+05,1.18E+05,0,8.87E+05,0,3.43E+05,0,4.02E+05,1.48E+05
sp|P14923|PLAK_HUMAN,1.49E+05,1.39E+05,6.28E+03,6.48E+05,1.11E+05,3.03E+05,0,8.27E+05,2.01E+05
sp|P15170|ERF3A_HUMAN,0,0,0,0,0,0,0,6.18E+04,0
sp|P15880|RS2_HUMAN,1.63E+06,3.21E+06,1.03E+06,4.21E+06,1.61E+06,1.10E+04,1.72E+04,7.98E+05,1.05E+06
sp|P15924|DESP_HUMAN,7.50E+04,1.09E+05,0,1.87E+05,0,2.07E+05,0,5.27E+05,6.77E+04
sp|P15927|RFA2_HUMAN,2.10E+05,1.48E+05,0,1.38E+05,0,0,0,1.57E+05,1.69E+05
sp|P16104|H2AX_HUMAN,4.45E+06,2.01E+06,9.63E+05,7.81E+06,1.47E+06,1.87E+06,6.70E+05,1.79E+06,1.57E+06
